<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.09.07	245.18	253.40	245.03	251.22	26005	0	0
2021.09.08	251.62	254.76	246.96	251.26	29025	0	0
2021.09.09	249.60	254.01	249.52	251.90	23251	0	0
2021.09.10	252.78	254.15	245.30	245.97	21080	0	0
2021.09.13	247.21	248.09	236.33	246.87	31403	0	0
2021.09.14	245.75	251.45	245.49	246.87	24980	0	0
2021.09.15	249.02	252.26	246.13	251.89	21436	0	0
2021.09.16	250.99	252.95	249.22	252.92	18816	0	0
2021.09.17	251.06	253.63	250.05	253.38	23034	0	0
2021.09.20	247.56	249.07	239.58	242.42	33283	0	0
2021.09.21	245.50	248.21	243.48	246.76	26635	0	0
2021.09.22	247.59	251.21	246.44	250.57	21728	0	0
2021.09.23	252.79	253.24	249.34	251.43	18567	0	0
2021.09.24	248.46	257.32	248.01	257.17	21670	0	0
2021.09.27	257.49	266.31	256.16	265.23	29067	0	0
2021.09.28	258.96	265.20	255.44	260.26	33520	0	1
2021.09.29	261.90	264.46	256.90	260.21	30458	0	0
2021.09.30	260.70	263.01	258.75	259.43	29199	0	0
2021.10.01	257.02	260.47	254.55	258.49	29220	0	0
2021.10.04	265.03	268.97	258.71	260.49	40417	0	1
2021.10.05	262.88	265.73	258.14	260.71	27303	0	0
2021.10.06	255.81	262.16	255.74	260.16	29056	0	0
2021.10.07	263.04	268.32	261.13	264.21	23064	0	0
2021.10.08	263.45	266.05	260.64	262.73	26206	0	0
2021.10.11	262.03	267.05	260.91	264.94	22465	0	0
2021.10.12	265.15	270.74	265.11	267.81	27087	0	0
2021.10.13	270.85	271.78	268.61	269.95	20259	0	0
2021.10.14	272.46	273.40	271.11	272.93	14704	0	0
2021.10.15	273.72	280.32	273.53	280.32	17694	0	0
2021.10.18	282.33	291.73	281.99	290.06	23754	0	1
2021.10.19	292.67	292.80	287.51	288.19	21422	0	0
2021.10.20	287.53	289.80	285.80	287.87	18501	0	1
2021.10.21	285.74	299.96	283.44	298.22	29654	0	0
2021.10.22	298.89	303.31	296.98	302.61	25242	0	1
2021.10.25	310.45	348.29	309.34	341.94	58616	0	2
2021.10.26	341.37	364.93	333.82	339.83	75561	0	4
2021.10.27	337.65	356.89	337.62	346.60	47915	0	3
2021.10.28	354.68	360.22	351.48	355.95	38171	0	4
2021.10.29	359.83	368.57	357.82	367.51	36463	0	3
2021.11.01	381.64	398.98	372.90	397.55	64835	0	4
2021.11.02	380.47	402.79	380.47	393.01	75284	0	5
2021.11.03	387.07	402.73	384.21	399.84	48992	0	4
2021.11.04	411.80	414.60	405.64	410.76	40939	0	5
2021.11.05	411.76	413.23	402.70	406.61	31979	0	4
2021.11.08	385.75	398.89	377.72	389.73	54040	0	4
2021.11.09	392.51	393.59	337.14	341.26	97200	0	5
2021.11.10	344.46	359.28	329.10	353.24	74323	0	4
2021.11.11	367.26	368.93	351.59	353.80	45664	0	4
2021.11.12	355.16	357.47	339.80	343.28	44403	0	3
2021.11.15	337.22	343.91	326.21	336.13	54150	0	3
2021.11.16	332.05	352.34	332.05	349.57	42599	0	4
2021.11.17	355.89	373.14	351.85	364.97	57157	0	5
2021.11.18	367.90	371.58	358.34	364.02	42043	0	5
2021.11.19	364.55	379.47	364.28	377.71	35629	0	5
2021.11.22	389.33	400.59	377.52	389.74	62486	0	6
2021.11.23	383.08	393.38	354.24	369.96	73092	0	6
2021.11.24	364.73	377.55	353.99	373.39	54245	0	6
2021.11.26	360.63	369.48	360.32	361.86	31942	0	5
2021.11.29	368.12	380.83	364.29	377.46	43133	0	5
2021.11.30	376.70	389.20	372.65	379.21	50835	0	3
2021.12.01	386.92	390.82	363.67	370.95	51813	0	6
2021.12.02	369.63	370.94	352.25	361.42	69073	0	3
2021.12.03	361.90	364.77	334.60	335.81	82341	0	5
2021.12.06	334.42	340.43	316.86	335.74	65968	0	5
2021.12.07	348.37	352.48	342.33	349.09	35986	0	4
2021.12.08	346.23	357.34	344.42	356.01	33368	0	5
2021.12.09	353.90	355.04	334.14	335.76	34683	0	4
2021.12.10	330.93	340.54	327.50	339.35	48258	0	4
2021.12.13	339.55	340.91	317.16	321.90	58303	0	2
2021.12.14	316.11	322.09	310.00	319.20	53049	0	2
2021.12.15	316.30	326.15	309.43	322.43	53016	0	2
2021.12.16	333.02	334.51	308.42	309.75	59644	0	2
2021.12.17	304.13	320.13	303.00	311.74	56462	0	2
2021.12.20	304.50	307.07	297.82	299.82	43861	0	2
2021.12.21	304.27	312.40	295.40	310.71	42162	0	2
2021.12.22	319.91	338.44	319.10	334.07	49434	0	2
2021.12.23	341.34	357.56	332.52	354.91	74798	0	3
2021.12.27	358.53	372.28	356.90	364.55	43482	0	4
2021.12.28	368.59	372.91	359.50	363.78	40499	0	4
2021.12.29	370.62	370.62	354.77	364.28	39165	0	4
2021.12.30	362.27	365.12	351.78	357.77	37847	0	3
2021.12.31	353.92	360.58	353.16	353.76	27812	0	2
2022.01.03	375.84	399.95	375.51	397.03	62252	0	4
2022.01.04	399.55	403.13	374.39	383.58	72386	0	4
2022.01.05	379.27	390.01	360.40	363.81	61507	0	4
2022.01.06	358.06	361.93	340.15	356.28	70639	0	4
2022.01.07	358.29	363.75	336.66	341.19	90521	0	3
2022.01.10	339.17	350.15	326.66	349.36	83848	0	4
2022.01.11	357.35	358.55	346.27	353.03	72963	0	3
2022.01.12	356.56	371.55	354.90	369.58	69986	0	3
2022.01.13	369.98	371.83	344.91	345.40	77430	0	4
2022.01.14	344.94	350.35	332.57	349.67	81956	0	3
2022.01.18	340.60	356.85	338.69	342.31	69984	0	4
2022.01.19	348.34	351.46	331.80	334.29	75382	0	4
2022.01.20	337.36	347.18	331.94	332.97	67383	0	3
